click,C1,C18,C16
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
1,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,2,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,1,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,2,250
0,1010,3,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,1,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,36
0,1005,2,50
0,1005,0,50
1,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,1,50
0,1010,3,50
0,1005,0,50
1,1005,0,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
1,1005,2,250
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1002,2,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,2,50
0,1005,2,50
0,1005,2,250
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
1,1005,2,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1002,2,50
0,1005,3,50
1,1005,0,50
0,1005,2,50
0,1005,2,50
0,1005,0,50
1,1005,2,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1002,2,50
1,1005,2,50
0,1005,0,50
0,1002,3,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,2,50
0,1010,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
1,1005,2,250
0,1005,2,250
0,1010,3,50
1,1005,2,250
0,1005,3,50
0,1005,0,50
0,1010,0,50
0,1005,0,50
1,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,36
0,1005,0,50
1,1005,0,50
1,1005,2,250
1,1002,0,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,1,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
1,1005,3,50
0,1010,1,50
1,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,2,50
0,1005,3,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,1,50
0,1005,1,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,2,250
0,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,2,50
0,1010,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1002,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
1,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1010,3,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1002,2,50
1,1005,2,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1010,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1010,3,50
1,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,1,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
1,1005,1,50
0,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,3,50
1,1005,0,50
1,1005,0,50
0,1005,2,50
0,1005,2,250
0,1005,2,250
0,1005,0,50
1,1002,0,50
0,1005,3,50
0,1005,0,50
0,1010,3,50
0,1002,0,50
1,1002,2,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,1,50
0,1010,3,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,36
0,1005,0,50
0,1010,0,50
0,1005,2,50
0,1005,3,50
0,1005,3,36
0,1005,1,50
0,1005,0,50
0,1005,3,50
0,1005,1,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1002,0,50
0,1005,0,50
0,1005,3,50
1,1005,3,50
0,1005,2,50
0,1005,2,50
1,1005,2,50
0,1002,2,50
0,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
1,1002,0,50
0,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
1,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,1,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,90
0,1005,3,50
1,1005,2,50
1,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1002,3,50
0,1005,0,50
1,1005,3,50
0,1005,1,50
1,1010,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1002,2,50
0,1005,3,50
0,1002,3,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1002,3,50
0,1005,3,50
0,1002,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,1,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1010,3,50
0,1005,3,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,3,50
1,1005,2,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
1,1005,2,50
1,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1002,3,50
0,1005,2,250
0,1005,0,50
0,1005,3,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,3,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,2,250
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,36
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
1,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
1,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,2,50
0,1005,2,50
0,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,2,50
0,1007,1,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
1,1005,3,50
0,1005,2,50
0,1005,0,50
1,1005,2,50
1,1005,2,50
0,1005,3,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
1,1002,3,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,3,50
0,1005,2,250
0,1005,0,50
0,1005,2,50
0,1002,2,50
0,1005,2,50
0,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1002,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,2,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
1,1002,3,50
0,1005,3,50
0,1005,0,50
0,1002,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,1,50
0,1005,3,50
1,1005,3,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,2,250
1,1005,2,50
0,1005,1,50
0,1005,0,50
0,1005,3,50
0,1002,2,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1010,3,50
0,1002,0,50
0,1005,0,50
0,1005,2,50
1,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
1,1005,2,250
0,1005,0,50
1,1005,2,50
0,1005,3,50
0,1005,3,50
0,1005,2,250
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1002,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1010,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
1,1005,0,50
0,1005,0,36
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
1,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1002,0,36
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1002,2,50
0,1005,0,50
1,1005,0,50
1,1005,3,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
1,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1010,3,50
1,1005,0,50
0,1005,3,50
0,1005,3,50
0,1002,3,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,36
1,1005,3,50
1,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1010,3,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
1,1005,2,50
0,1005,3,50
0,1005,2,50
0,1010,0,50
0,1005,3,50
0,1005,2,250
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,2,50
0,1005,1,50
1,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,2,250
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,2,250
0,1005,0,50
0,1005,1,50
1,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
1,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,1,50
0,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,2,250
1,1005,0,50
0,1002,2,50
0,1002,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,2,50
1,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
1,1002,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1010,3,50
1,1005,2,50
1,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1010,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,36
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,0,50
0,1005,2,50
1,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,2,50
1,1002,3,50
0,1005,1,50
0,1005,1,50
1,1002,3,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
1,1005,2,50
0,1010,3,50
0,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1002,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1002,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,36
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,36
0,1005,0,50
0,1005,2,50
1,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,0,50
1,1008,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1002,2,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
1,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,2,50
1,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1002,2,50
0,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,0,50
0,1002,2,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
1,1005,0,50
0,1005,2,50
1,1005,3,50
1,1005,2,50
0,1005,2,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
1,1005,2,50
1,1005,0,50
0,1005,3,50
1,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1002,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,36
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
1,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1002,2,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,1,50
0,1002,3,50
1,1005,0,36
1,1005,2,250
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
1,1005,3,50
0,1005,3,50
0,1005,2,50
0,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
1,1002,3,50
0,1005,0,50
1,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,1,50
1,1005,0,50
0,1005,2,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
1,1005,3,50
1,1005,0,50
0,1005,2,50
1,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,3,50
0,1005,2,250
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,3,50
1,1005,0,50
1,1010,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
1,1005,2,250
0,1005,2,250
0,1005,0,50
0,1010,3,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,0,50
0,1005,2,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,1,50
0,1005,3,50
1,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,3,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1002,3,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,1,50
1,1005,3,50
0,1005,2,50
0,1005,3,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,3,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,2,250
0,1005,0,50
0,1002,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,36
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,1,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
1,1005,2,50
0,1005,2,50
0,1002,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
1,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1010,0,50
1,1005,0,50
0,1002,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,3,50
1,1005,1,50
1,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,3,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,36
0,1002,0,36
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,2,250
0,1005,3,50
0,1005,3,50
0,1005,1,50
1,1005,2,50
0,1005,3,50
0,1005,0,36
0,1005,3,50
0,1005,3,50
0,1005,3,50
1,1005,0,50
0,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
1,1005,0,50
1,1002,2,50
1,1005,2,250
0,1005,2,250
0,1005,3,50
1,1005,3,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
1,1005,0,50
0,1005,0,50
1,1005,0,50
1,1005,3,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,2,250
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1010,0,50
0,1005,2,50
0,1005,0,50
0,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,1,50
0,1005,3,50
0,1005,2,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,3,50
1,1005,3,50
0,1005,0,50
0,1010,3,50
0,1005,0,50
0,1005,0,50
0,1005,2,250
0,1005,3,50
0,1005,3,50
0,1005,3,50
0,1005,0,50
1,1005,2,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1002,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,3,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,0,50
0,1005,1,50
